text	label
Sweet United Nations video. Just in time for Christmas. #imagine #NoReligion  http://t.co/fej2v3OUBR	1
@mrdahl87 We are rumored to have talked to Erv's agent... and the Angels asked about Ed Escobar... that's hardly nothing    ;)	1
Hey there! Nice to see you Minnesota/ND Winter Weather	1
3 episodes left I'm dying over here	0
"""I can't breathe!"" was chosen as the most notable quote of the year in an annual list released by a Yale University librarian"	1
You're never too old for Footie Pajamas. http://t.co/ElzGqsX2yQ	0
Nothing makes me happier then getting on the highway and seeing break lights light up like a Christmas tree..	1
4:30 an opening my first beer now gonna be a long night/day	0
@Adam_Klug do you think you would support a guy who knocked out your daughter? Rice doesn't deserve support.	0
@samcguigan544 You are not allowed to open that until Christmas day!	0
Oh, thank GOD - our entire office email system is down... the day of a big event. Santa, you know JUST what to get me for xmas.	1
But instead, I'm scrolling through Facebook, Instagram, and Twitter for hours on end, accomplishing nothing.	0
@TargetZonePT :pouting_face: no he bloody isn't I was upstairs getting changed !	0
Cold or warmth both suffuse one's cheeks with pink (colour/tone) ... Do you understand the underlying difference & its texture?	0
Just great when you're mobile bill arrives by text	1
crushes are great until you realize they'll never be interested in you.| :p	1
Buffalo sports media is smarter than all of us. Where else can you get the quality insight offered by Harrington and Busgaglia.	1
I guess my cat also lost 3 pounds when she went to the vet after I've been feeding her a few times a day.||#Eating|#food| |#WorkingOut	0
@YankeesWFAN @Ken_Rosenthal trading a SP for a defense-only SS? Brilliant trade.	1
But @DarklightDave was trying to find us, and my battery died. Guess how he found us? Yes, that bastard wand! !!!!!	1
@deputymartinski please do..i need the second hand embarrassment so desperatly on my phone	1
I never cared for Beyonce, bc I could never get a sense of who she was. Her interviews lacked depth. @AZEALIABANKS tho....this girl got IT.	0
@yWTorres9 time to hit the books then	1
@RushOrderTees THX4FLW! FLWtheMUSIC @ElektrikEventz @ElektrikMetro WE R #ElektrikBLOOM #ElektrikFANTASY #iwant2DRIFT #Elev8TheUnderground!	0
Love these cold winter mornings :grimacing_face: best feeling everrrrrrr !	1
Amazingly http://t.co/NEioZuNbLD is not owned by #BHP. They are going to have to shell out some decent money for it. #BHPBilliton #South32	0
Wish she could have told me herself. @NicoleScherzy #nicolescherzinger #OneLove #myfav #MyQueen :heavy_black_heart:️:heavy_black_heart:️ http://t.co/queL09fqyr	0
The rain has made extra extra lazy:smiling_face_with_open_mouth_and_cold_sweat:	0
I was doing great with this summary of my year until I got to June 27th, and the weekend of @Hartswormx3 's birthday. #rivertrip #groupchat	0
see, that MIGHT show up on a background check, and you'd be denied its a catch 22 we have the right to self protection @serpentina66	0
Smh never knew something could be 80% halal....Been muslim my whole life but somehow i've learned something new i guess	1
A wonderful day of starting work at 6am	1
i feel like whole life is about waiting waiting and waiting	0
@Pure_playa85 lol :grinning_face_with_smiling_eyes:.. Will let my kids know when they get up in the morning.. Thanks for the tip	0
@RedSox you guys sure screwed this up royally. I'm happy for Lester, the brain trust over there sucks. #nicejob  #LesterToChicago	1
#Aussie #gunman #was  #on terrorist #watch #list, PM #says: SYDNEY – The gunman who took 17 hostages in Sydney... http://t.co/ibnxdPtu3W	0
"""Twig"" is now ""Sprig""—3 sec limit on new social video platform  #techtalk #editorspick #sillyvine #Tr... https://t.co/0DMkcXpYzq"	1
@HEELTeacher and what will that achieve? Seriously?To be fired.all the guys who had the balls to call them out are gone..	0
Yay for another work at 4am day :neutral_face:	1
Physical therapy at 8 am is just what I want to be doing with my Friday  #iwanttosleep	1
Omg @FloptimusCrime didn't tell @giantfootyguy he was in town :face_screaming_in_fear: #trueFriend	1
I THOUGHT WHAT WE HAD WAS REAL, HOW COULD YOU BE FINE? COZ I'M NOT FINE AT ALL Oh wait. Fixed the caps lock ^.^  #LaughNow .o.	1
"HaHaHaHa!! #hypocrisy  ""MT @Independent: Katie Hopkins calls Russell Brand a bully..........: http://t.co/DZ05xHiuwl"""	1
That moment when you have so much stuff to do but you open @tumblr ... #productivity  #tumblr	1
Lol! I m enjoying it:two_women_holding_hands: #Talks #Crazyness #SheNeverLeft  sleepy!! :white_smiling_face:	0
Luv this	1
": When some naturopaths sell ""aromatic"" herbs the way apothecaries sell noxious poisons. #Naturopath=#Apothecary #Herb=#Poison"	1
"""@dixiessixty: Goal of the Season 1970: GOAL 1. Jon Sammels #ARSENAL vs #manutd https://t.co/W1p9bptdT3"" @Lloydgallagher3 @bigtant1986"	0
really, what else can a fish be besides a fish? @RBRNetwork1 @TheOldBreed1775 @IndyEnigma @diverdown48	0
@malesurvivor72 I think it's a safe bet it won't fit the crime.	0
It will be impossible for me to be late if I start to dress up right now. #studing #university #lazy	1
When you're already running late and then your car won't start <<< #FantasticFriday	1
i decided to become my own boss to have more free time.. now i have no time left whatsoever.	1
loyalty vs. self protection loyalty vs. self protection loyalty vs. self protection loyalty vs. self protection	0
American Kids starting playing and now I'm super missing #summer2k14 #kennychesney	0
@corporateknight don't know how#Monsanto # among 100 most sustainable Cos in the world sure all parameters are measured#net positive?	0
None of the big, disruptive innovations in our lives have come out of brainstorming. -Bruce Nussbaum http://t.co/ituc6zpusB	0
that way people get to understand disabilities and not stare at us funny wen we out and about#IDPwD#disability	0
@TheoCorleone @david_maclellan Shit! I better shut my stupid girly mouth because im so concerned about what men might think of me.	1
Why does my tongue feel it necessary to try and touch the high speed tool my dentist has put in my mouth?	0
Tell me the #Quintessential #Aussie now isn't a Govt paid job & then have the hyde to buy overseas online and pay no GST . mmm #SadButTrue	0
"@Parlett316 ""Dirk's got a lot of moves I'm trying to steal."" - Kevin Durant on his one-legged fadeway"	0
About once a yr I get a little nutty and reach for the orange marmalade. #livingontheedge  http://t.co/sF9o6OWE1v	1
